mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2
64	64	512	512	4.0	2	2	Chord	6/2	16	1	1	1	1	673										
65	65	516	516	2.0	0	0	Chord	6/2	9	1	1/2	1/2	1	674										
65	65	518	518	2.0	1/2	1/2	Chord	6/2	9	1	1/2	1/2	1	675										
65	65	520	520	2.0	1	1	Chord	6/2	9	1	1/2	1/2	1	676										
65	65	522	522	2.0	3/2	3/2	Chord	6/2	9	1	1/2	1/2	1	677										
65	65	524	524	2.0	2	2	Chord	6/2	9	1	1/2	1/2	1	678										
65	65	526	526	2.0	5/2	5/2	Chord	6/2	9	1	1/2	1/2	1	679										
65	65	516	516	2.0	0	0	Chord	6/2	15	1	1/2	1/2	1	680										
65	65	518	518	2.0	1/2	1/2	Chord	6/2	15	1	1/2	1/2	1	681										
65	65	520	520	2.0	1	1	Chord	6/2	15	1	1/2	1/2	1	682										
65	65	522	522	2.0	3/2	3/2	Chord	6/2	15	1	1/2	1/2	1	683										
65	65	524	524	2.0	2	2	Chord	6/2	15	1	1/2	1/2	1	684										
65	65	526	526	2.0	5/2	5/2	Chord	6/2	15	1	1/2	1/2	1	685										
65	65	516	516	12.0	0	0	Chord	6/2	16	1	3	2	3/2	686										
66	66	528	528	3.0	0	0	Chord	6/2	9	1	3/4	1/2	3/2	687										
66	66	531	531	1.0	3/4	3/4	Chord	6/2	9	1	1/4	1/4	1	688										
66	66	532	532	2.0	1	1	Chord	6/2	9	1	1/2	1/2	1	689										
66	66	534	534	2.0	3/2	3/2	Chord	6/2	9	1	1/2	1/2	1	690										
66	66	536	536	4.0	2	2	Chord	6/2	9	1	1	1	1	691										
66	66	528	528	3.0	0	0	Chord	6/2	15	1	3/4	1/2	3/2	692										
66	66	531	531	1.0	3/4	3/4	Chord	6/2	15	1	1/4	1/4	1	693										
66	66	532	532	2.0	1	1	Chord	6/2	15	1	1/2	1/2	1	694										
66	66	534	534	4.0	3/2	3/2	Chord	6/2	15	1	1	1	1	695										
66	66	538	538	2.0	5/2	5/2	Chord	6/2	15	1	1/2	1/2	1	696										
66	66	528	528	12.0	0	0	Chord	6/2	16	1	3	2	3/2	697										
67	67	540	540	3.0	0	0	Chord	6/2	9	1	3/4	1/2	3/2	698										
67	67	543	543	1.0	3/4	3/4	Chord	6/2	9	1	1/4	1/4	1	699										
67	67	544	544	2.0	1	1	Chord	6/2	9	1	1/2	1/2	1	700										
67	67	546	546	2.0	3/2	3/2	Chord	6/2	9	1	1/2	1/2	1	701										
67	67	548	548	4.0	2	2	Chord	6/2	9	1	1	1	1	702										
67	67	540	540	3.0	0	0	Chord	6/2	15	1	3/4	1/2	3/2	703										
67	67	543	543	1.0	3/4	3/4	Chord	6/2	15	1	1/4	1/4	1	704										
67	67	544	544	2.0	1	1	Chord	6/2	15	1	1/2	1/2	1	705										
67	67	546	546	2.0	3/2	3/2	Chord	6/2	15	1	1/2	1/2	1	706										
67	67	548	548	2.0	2	2	Chord	6/2	15	1	1/2	1/2	1	707										
67	67	550	550	2.0	5/2	5/2	Chord	6/2	15	1	1/2	1/2	1	708										
67	67	540	540	6.0	0	0	Chord	6/2	16	1	3/2	1	3/2	709										
67	67	546	546	2.0	3/2	3/2	Chord	6/2	16	1	1/2	1/2	1	710										
67	67	548	548	4.0	2	2	Chord	6/2	16	1	1	1	1	711										
68	68	552	552	3.0	0	0	Chord	6/2	9	1	3/4	1/2	3/2	712										
68	68	555	555	1.0	3/4	3/4	Chord	6/2	9	1	1/4	1/4	1	713										
68	68	556	556	2.0	1	1	Chord	6/2	9	1	1/2	1/2	1	714										
68	68	558	558	2.0	3/2	3/2	Chord	6/2	9	1	1/2	1/2	1	715										
68	68	560	560	3.0	2	2	Chord	6/2	9	1	3/4	1/2	3/2	716										
68	68	563	563	1.0	11/4	11/4	Chord	6/2	9	1	1/4	1/4	1	717										
68	68	552	552	3.0	0	0	Chord	6/2	15	1	3/4	1/2	3/2	718										
68	68	555	555	1.0	3/4	3/4	Chord	6/2	15	1	1/4	1/4	1	719										
68	68	556	556	2.0	1	1	Chord	6/2	15	1	1/2	1/2	1	720										
68	68	558	558	2.0	3/2	3/2	Chord	6/2	15	1	1/2	1/2	1	721										
68	68	560	560	2.0	2	2	Chord	6/2	15	1	1/2	1/2	1	722										
68	68	562	562	2.0	5/2	5/2	Chord	6/2	15	1	1/2	1/2	1	723										
68	68	552	552	6.0	0	0	Chord	6/2	16	1	3/2	1	3/2	724										
68	68	558	558	2.0	3/2	3/2	Chord	6/2	16	1	1/2	1/2	1	725										
68	68	560	560	4.0	2	2	Chord	6/2	16	1	1	1	1	726										
69	69	564	564	6.0	0	0	Chord	3/2	9	1	3/2	1	3/2	727										
69	69	564	564	6.0	0	0	Chord	3/2	15	1	3/2	1	3/2	728										
69	69	564	564	6.0	0	0	Chord	3/2	16	1	3/2	1	3/2	729										
70	70	571	571	1.0	1/4	1/4	Chord	4/2	12	1	1/4	1/4	1	730	Ner									
70	70	572	572	1.0	1/2	1/2	Chord	4/2	12	1	1/4	1/4	1	731	pur									
70	70	573	573	1.0	3/4	3/4	Chord	4/2	12	1	1/4	1/4	1	732	ar-									
70	70	574	574	3.0	1	1	Chord	4/2	12	1	3/4	1/2	3/2	733	-dor									
70	70	577	577	1.0	7/4	7/4	Chord	4/2	12	1	1/4	1/4	1	734	de-									
70	70	570	570	2.0	0	0	Chord	4/2	21	1	1/2	1/2	1	735										
70	70	572	572	2.0	1/2	1/2	Chord	4/2	21	1	1/2	1/2	1	736										
70	70	574	574	4.0	1	1	Chord	4/2	21	1	1	1	1	737										
71	71	578	578	1.0	0	0	Chord	4/2	12	1	1/4	1/4	1	738	-lla									
71	71	579	579	1.0	1/4	1/4	Chord	4/2	12	1	1/4	1/4	1	739	piu									
71	71	580	580	1.0	1/2	1/2	Chord	4/2	12	1	1/4	1/4	1	740	be-									
71	71	581	581	1.0	3/4	3/4	Chord	4/2	12	1	1/4	1/4	1	741	-lla									
71	71	582	582	2.0	1	1	Chord	4/2	12	1	1/2	1/2	1	742	ste-									
71	71	584	584	2.0	3/2	3/2	Chord	4/2	12	1	1/2	1/2	1	743	-lla									
71	71	578	578	2.0	0	0	Chord	4/2	21	1	1/2	1/2	1	744										
71	71	580	580	0.0	1/2	1/2	FiguredBass	4/2	21	1	0											1/2	#	
71	71	580	580	2.0	1/2	1/2	Chord	4/2	21	1	1/2	1/2	1	745										
71	71	582	582	2.0	1	1	Chord	4/2	21	1	1/2	1/2	1	746										
71	71	584	584	2.0	3/2	3/2	Chord	4/2	21	1	1/2	1/2	1	747										
72	72	587	587	1.0	1/4	1/4	Chord	4/2	12	1	1/4	1/4	1	748	Au-									
72	72	588	588	1.0	1/2	1/2	Chord	4/2	12	1	1/4	1/4	1	749	-rea									
72	72	589	589	1.0	3/4	3/4	Chord	4/2	12	1	1/4	1/4	1	750	fa-									
72	72	590	590	2.0	1	1	Chord	4/2	12	1	1/2	1/2	1	751	-ce-									
72	72	592	592	2.0	3/2	3/2	Chord	4/2	12	1	1/2	1/2	1	752	-lla									
72	72	586	586	4.0	0	0	Chord	4/2	21	1	1	1	1	753										
73	73	601	601	1.0	7/4	7/4	Chord	4/2	9	1	1/4	1/4	1	754										
73	73	594	594	1.0	0	0	Chord	4/2	12	1	1/4	1/4	1	755	di-									
73	73	595	595	1.0	1/4	1/4	Chord	4/2	12	1	1/4	1/4	1	756	-bel									
73	73	596	596	1.5	1/2	1/2	Chord	4/2	12	1	3/8	1/4	3/2	757	foc									
73	73	1195/2	1195/2	0.5	7/8	7/8	Chord	4/2	12	1	1/8	1/8	1	758	'accc-									
73	73	598	598	2.0	1	1	Chord	4/2	12	1	1/2	1/2	1	759	-e-									
73	73	600	600	1.0	3/2	3/2	Chord	4/2	12	1	1/4	1/4	1	760	-di									
73	73	601	601	1.0	7/4	7/4	Chord	4/2	16	1	1/4	1/4	1	761										
73	73	594	594	1.0	0	0	Chord	4/2	21	1	1/4	1/4	1	762										
73	73	595	595	1.0	1/4	1/4	Chord	4/2	21	1	1/4	1/4	1	763										
73	73	596	596	1.0	1/2	1/2	Chord	4/2	21	1	1/4	1/4	1	764										
73	73	597	597	1.0	3/4	3/4	Chord	4/2	21	1	1/4	1/4	1	765										
73	73	598	598	2.0	1	1	Chord	4/2	21	1	1/2	1/2	1	766										
73	73	600	600	1.0	3/2	3/2	Chord	4/2	21	1	1/4	1/4	1	767										
74	74	602	602	1.5	0	0	Chord	4/2	9	1	3/8	1/4	3/2	768										
74	74	1207/2	1207/2	0.5	3/8	3/8	Chord	4/2	9	1	1/8	1/8	1	769										
74	74	604	604	2.0	1/2	1/2	Chord	4/2	9	1	1/2	1/2	1	770										
74	74	606	606	2.0	1	1	Chord	4/2	12	1	1/2	1/2	1	771	E									
74	74	608	608	1.0	3/2	3/2	Chord	4/2	12	1	1/4	1/4	1	772	qui									
74	74	609	609	1.0	7/4	7/4	Chord	4/2	12	1	1/4	1/4	1	773	dif-									
74	74	602	602	2.0	0	0	Chord	4/2	16	1	1/2	1/2	1	774										
74	74	604	604	2.0	1/2	1/2	Chord	4/2	16	1	1/2	1/2	1	775										
74	74	606	606	0.0	1	1	FiguredBass	4/2	21	1	0											1/2		
74	74	606	606	2.0	1	1	Chord	4/2	21	1	1/2	1/2	1	776										
74	74	608	608	0.0	3/2	3/2	FiguredBass	4/2	21	1	0											1/4	11	
74	74	608	608	1.0	3/2	3/2	Chord	4/2	21	1	1/4	1/4	1	777										
74	74	609	609	0.0	7/4	7/4	FiguredBass	4/2	21	1	0											1/4	#	
74	74	609	609	1.0	7/4	7/4	Chord	4/2	21	1	1/4	1/4	1	778										
75	75	610	610	2.0	0	0	Chord	4/2	12	1	1/2	1/2	1	779	-cen-									
75	75	612	612	2.0	1/2	1/2	Chord	4/2	12	1	1/2	1/2	1	780	-di									
75	75	614	614	1.0	1	1	Chord	4/2	12	1	1/4	1/4	1	781	Su									
75	75	615	615	1.0	5/4	5/4	Chord	4/2	12	1	1/4	1/4	1	782	l'au-									
75	75	616	616	1.5	3/2	3/2	Chord	4/2	12	1	3/8	1/4	3/2	783	-ra-									
75	75	1235/2	1235/2	0.5	15/8	15/8	Chord	4/2	12	1	1/8	1/8	1	784	-te									
75	75	610	610	2.0	0	0	Chord	4/2	21	1	1/2	1/2	1	785										
75	75	612	612	2.0	1/2	1/2	Chord	4/2	21	1	1/2	1/2	1	786										
75	75	614	614	4.0	1	1	Chord	4/2	21	1	1	1	1	787										
76	76	618	618	2.0	0	0	Chord	4/2	12	1	1/2	1/2	1	788	piu-									
76	76	620	620	2.0	1/2	1/2	Chord	4/2	12	1	1/2	1/2	1	789	-me									
76	76	623	623	1.0	5/4	5/4	Chord	4/2	12	1	1/4	1/4	1	790	gio-									
76	76	624	624	1.0	3/2	3/2	Chord	4/2	12	1	1/4	1/4	1	791	-co-									
76	76	625	625	1.0	7/4	7/4	Chord	4/2	12	1	1/4	1/4	1	792	-do									
76	76	618	618	0.0	0	0	FiguredBass	4/2	21	1	0											1	#	
76	76	618	618	4.0	0	0	Chord	4/2	21	1	1	1	1	793										
76	76	622	622	0.0	1	1	FiguredBass	4/2	21	1	0											3/4	#	
76	76	622	622	3.0	1	1	Chord	4/2	21	1	3/4	1/2	3/2	794										
76	76	625	625	1.0	7/4	7/4	Chord	4/2	21	1	1/4	1/4	1	795										
77	77	626	626	2.0	0	0	Chord	4/2	12	1	1/2	1/2	1	796	nu-									
77	77	628	628	1.5	1/2	1/2	Chord	4/2	12	1	3/8	1/4	3/2	797	-me,									
77	77	1259/2	1259/2	0.5	7/8	7/8	Chord	4/2	12	1	1/8	1/8	1	798	e									
77	77	630	630	1.5	1	1	Chord	4/2	12	1	3/8	1/4	3/2	799	di									
77	77	1263/2	1263/2	0.5	11/8	11/8	Chord	4/2	12	1	1/8	1/8	1	800	ce-									
77	77	632	632	1.5	3/2	3/2	Chord	4/2	12	1	3/8	1/4	3/2	801	-lef-									
77	77	1267/2	1267/2	0.5	15/8	15/8	Chord	4/2	12	1	1/8	1/8	1	802	-te									
77	77	626	626	2.0	0	0	Chord	4/2	21	1	1/2	1/2	1	803										
77	77	628	628	2.0	1/2	1/2	Chord	4/2	21	1	1/2	1/2	1	804										
77	77	630	630	1.0	1	1	Chord	4/2	21	1	1/4	1/4	1	805										
77	77	631	631	1.0	5/4	5/4	Chord	4/2	21	1	1/4	1/4	1	806										
77	77	632	632	1.5	3/2	3/2	Chord	4/2	21	1	3/8	1/4	3/2	807										
77	77	1267/2	1267/2	0.5	15/8	15/8	Chord	4/2	21	1	1/8	1/8	1	808										
78	78	634	634	2.0	0	0	Chord	4/2	12	1	1/2	1/2	1	809	fia-									
78	78	636	636	1.0	1/2	1/2	Chord	4/2	12	1	1/4	1/4	1	810	-ma									
78	78	637	637	1.0	3/4	3/4	Chord	4/2	12	1	1/4	1/4	1	811	l'a-									
78	78	638	638	1.0	1	1	Chord	4/2	12	1	1/4	1/4	1	812										
78	78	639	639	0.5	5/4	5/4	Chord	4/2	12	1	1/8	1/8	1	813	-ni-									
78	78	1279/2	1279/2	0.5	11/8	11/8	Chord	4/2	12	1	1/8	1/8	1	814	-mein									
78	78	640	640	2.0	3/2	3/2	Chord	4/2	12	1	1/2	1/2	1	815	fia-									
78	78	634	634	2.0	0	0	Chord	4/2	21	1	1/2	1/2	1	816										
78	78	636	636	1.0	1/2	1/2	Chord	4/2	21	1	1/4	1/4	1	817										
78	78	637	637	1.0	3/4	3/4	Chord	4/2	21	1	1/4	1/4	1	818										
78	78	638	638	1.0	1	1	Chord	4/2	21	1	1/4	1/4	1	819										
78	78	639	639	1.0	5/4	5/4	Chord	4/2	21	1	1/4	1/4	1	820										
78	78	640	640	0.0	3/2	3/2	FiguredBass	4/2	21	1	0											1/2	#	
78	78	640	640	2.0	3/2	3/2	Chord	4/2	21	1	1/2	1/2	1	821										
79	79	645	645	0.5	3/4	3/4	Chord	2/2	9	1	1/8	1/8	1	822										
79	79	1291/2	1291/2	0.5	7/8	7/8	Chord	2/2	9	1	1/8	1/8	1	823										
79	79	642	642	2.0	0	0	Chord	2/2	12	1	1/2	1/2	1	824	-ma									
79	79	645	645	0.0	3/4	3/4	StaffText	2/2	15	1	0					Ritornello.								
79	79	645	645	0.5	3/4	3/4	Chord	2/2	15	1	1/8	1/8	1	825										
79	79	1291/2	1291/2	0.5	7/8	7/8	Chord	2/2	15	1	1/8	1/8	1	826										
79	79	644	644	2.0	1/2	1/2	Chord	2/2	16	1	1/2	1/2	1	827										
79	79	642	642	2.0	0	0	Chord	2/2	21	1	1/2	1/2	1	828										
80	80	646	646	3.0	0	0	Chord	6/2	9	1	3/4	1/2	3/2	829										
80	80	649	649	1.0	3/4	3/4	Chord	6/2	9	1	1/4	1/4	1	830										
80	80	650	650	2.0	1	1	Chord	6/2	9	1	1/2	1/2	1	831										
80	80	652	652	2.0	3/2	3/2	Chord	6/2	9	1	1/2	1/2	1	832										
80	80	654	654	2.0	2	2	Chord	6/2	9	1	1/2	1/2	1	833										
80	80	656	656	2.0	5/2	5/2	Chord	6/2	9	1	1/2	1/2	1	834										
80	80	646	646	3.0	0	0	Chord	6/2	15	1	3/4	1/2	3/2	835										
80	80	649	649	1.0	3/4	3/4	Chord	6/2	15	1	1/4	1/4	1	836										
80	80	650	650	2.0	1	1	Chord	6/2	15	1	1/2	1/2	1	837										
80	80	652	652	2.0	3/2	3/2	Chord	6/2	15	1	1/2	1/2	1	838										
80	80	654	654	2.0	2	2	Chord	6/2	15	1	1/2	1/2	1	839										
80	80	656	656	2.0	5/2	5/2	Chord	6/2	15	1	1/2	1/2	1	840										
80	80	646	646	12.0	0	0	Chord	6/2	16	1	3	2	3/2	841										
81	81	658	658	2.0	0	0	Chord	6/2	9	1	1/2	1/2	1	842										
81	81	660	660	1.0	1/2	1/2	Chord	6/2	9	1	1/4	1/4	1	843										
81	81	661	661	1.0	3/4	3/4	Chord	6/2	9	1	1/4	1/4	1	844										
81	81	662	662	2.0	1	1	Chord	6/2	9	1	1/2	1/2	1	845										
81	81	664	664	2.0	3/2	3/2	Chord	6/2	9	1	1/2	1/2	1	846										
81	81	666	666	2.0	2	2	Chord	6/2	9	1	1/2	1/2	1	847										
81	81	668	668	2.0	5/2	5/2	Chord	6/2	9	1	1/2	1/2	1	848										
81	81	658	658	2.0	0	0	Chord	6/2	15	1	1/2	1/2	1	849										
81	81	660	660	1.0	1/2	1/2	Chord	6/2	15	1	1/4	1/4	1	850										
81	81	661	661	1.0	3/4	3/4	Chord	6/2	15	1	1/4	1/4	1	851										
81	81	662	662	2.0	1	1	Chord	6/2	15	1	1/2	1/2	1	852										
81	81	664	664	2.0	3/2	3/2	Chord	6/2	15	1	1/2	1/2	1	853										
81	81	666	666	2.0	2	2	Chord	6/2	15	1	1/2	1/2	1	854										
81	81	668	668	2.0	5/2	5/2	Chord	6/2	15	1	1/2	1/2	1	855										
81	81	658	658	12.0	0	0	Chord	6/2	16	1	3	2	3/2	856										
82	82	670	670	4.0	0	0	Chord	6/2	9	1	1	1	1	857										
82	82	674	674	2.0	1	1	Chord	6/2	9	1	1/2	1/2	1	858	Si									
82	82	676	676	2.0	3/2	3/2	Chord	6/2	9	1	1/2	1/2	1	859	rep-									
82	82	678	678	4.0	2	2	Chord	6/2	9	1	1	1	1	860	-lica									
82	82	670	670	3.0	0	0	Chord	6/2	15	1	3/4	1/2	3/2	861										
82	82	673	673	1.0	3/4	3/4	Chord	6/2	15	1	1/4	1/4	1	862										
82	82	674	674	2.0	1	1	Chord	6/2	15	1	1/2	1/2	1	863										
82	82	676	676	2.0	3/2	3/2	Chord	6/2	15	1	1/2	1/2	1	864										
82	82	678	678	2.0	2	2	Chord	6/2	15	1	1/2	1/2	1	865										
82	82	680	680	2.0	5/2	5/2	Chord	6/2	15	1	1/2	1/2	1	866										
82	82	670	670	6.0	0	0	Chord	6/2	16	1	3/2	1	3/2	867										
82	82	676	676	2.0	3/2	3/2	Chord	6/2	16	1	1/2	1/2	1	868										
82	82	678	678	4.0	2	2	Chord	6/2	16	1	1	1	1	869										
83	83	682	682	3.0	0	0	Chord	6/2	9	1	3/4	1/2	3/2	870	fopra									
83	83	685	685	1.0	3/4	3/4	Chord	6/2	9	1	1/4	1/4	1	871	la									
83	83	686	686	2.0	1	1	Chord	6/2	9	1	1/2	1/2	1	872	me-									
83	83	688	688	2.0	3/2	3/2	Chord	6/2	9	1	1/2	1/2	1	873	-de-									
83	83	690	690	3.0	2	2	Chord	6/2	9	1	3/4	1/2	3/2	874	-fi-									
83	83	693	693	1.0	11/4	11/4	Chord	6/2	9	1	1/4	1/4	1	875	-ma									
83	83	682	682	3.0	0	0	Chord	6/2	15	1	3/4	1/2	3/2	876										
83	83	685	685	1.0	3/4	3/4	Chord	6/2	15	1	1/4	1/4	1	877										
83	83	686	686	2.0	1	1	Chord	6/2	15	1	1/2	1/2	1	878										
83	83	688	688	2.0	3/2	3/2	Chord	6/2	15	1	1/2	1/2	1	879										
83	83	690	690	2.0	2	2	Chord	6/2	15	1	1/2	1/2	1	880										
83	83	692	692	2.0	5/2	5/2	Chord	6/2	15	1	1/2	1/2	1	881										
83	83	682	682	6.0	0	0	Chord	6/2	16	1	3/2	1	3/2	882										
83	83	688	688	2.0	3/2	3/2	Chord	6/2	16	1	1/2	1/2	1	883										
83	83	690	690	4.0	2	2	Chord	6/2	16	1	1	1	1	884										
84	84	694	694	6.0	0	0	Chord	3/2	9	1	3/2	1	3/2	885	Aria.									
84	84	694	694	6.0	0	0	Chord	3/2	15	1	3/2	1	3/2	886										
84	84	694	694	6.0	0	0	Chord	3/2	16	1	3/2	1	3/2	887										
85	85	700	700	1.5	0	0	Chord	4/2	2	1	3/8	1/4	3/2	888	Deh									
85	85	1403/2	1403/2	0.5	3/8	3/8	Chord	4/2	2	1	1/8	1/8	1	889	come									
85	85	702	702	1.0	1/2	1/2	Chord	4/2	2	1	1/4	1/4	1	890	og-									
85	85	703	703	0.5	3/4	3/4	Chord	4/2	2	1	1/8	1/8	1	891	-ni									
85	85	1407/2	1407/2	0.5	7/8	7/8	Chord	4/2	2	1	1/8	1/8	1	892	bi-									
85	85	704	704	2.0	1	1	Chord	4/2	2	1	1/2	1/2	1	893	-fol-									
85	85	706	706	1.0	3/2	3/2	Chord	4/2	2	1	1/4	1/4	1	894	-coog-									
85	85	707	707	0.5	7/4	7/4	Chord	4/2	2	1	1/8	1/8	1	895	-ni									
85	85	1415/2	1415/2	0.5	15/8	15/8	Chord	4/2	2	1	1/8	1/8	1	896	Pa-									
85	85	700	700	4.0	0	0	Chord	4/2	21	1	1	1	1	897										
85	85	704	704	4.0	1	1	Chord	4/2	21	1	1	1	1	898										
86	86	708	708	1.0	0	0	Chord	4/2	2	1	1/4	1/4	1	899	-sto-									
86	86	709	709	1.0	1/4	1/4	Chord	4/2	2	1	1/4	1/4	1	900	-re									
86	86	711	711	0.5	3/4	3/4	Chord	4/2	2	1	1/8	1/8	1	901	A									
86	86	1423/2	1423/2	0.5	7/8	7/8	Chord	4/2	2	1	1/8	1/8	1	902	tuoi									
86	86	712	712	1.0	1	1	Chord	4/2	2	1	1/4	1/4	1	903	lieti									
86	86	713	713	0.5	5/4	5/4	Chord	4/2	2	1	1/8	1/8	1	904	I-									
86	86	1427/2	1427/2	0.5	11/8	11/8	Chord	4/2	2	1	1/8	1/8	1	905	-me-									
86	86	714	714	1.0	3/2	3/2	Chord	4/2	2	1	1/4	1/4	1	906	-ne-									
86	86	715	715	1.0	7/4	7/4	Chord	4/2	2	1	1/4	1/4	1	907	-i									
86	86	708	708	4.0	0	0	Chord	4/2	21	1	1	1	1	908										
86	86	712	712	2.0	1	1	Chord	4/2	21	1	1/2	1/2	1	909										
86	86	714	714	2.0	3/2	3/2	Chord	4/2	21	1	1/2	1/2	1	910										
87	87	716	716	1.0	0	0	Chord	4/2	2	1	1/4	1/4	1	911	Scopr'									
87	87	717	717	0.5	1/4	1/4	Chord	4/2	2	1	1/8	1/8	1	912	il									
87	87	1435/2	1435/2	0.5	3/8	3/8	Chord	4/2	2	1	1/8	1/8	1	913	pia-									
87	87	718	718	0.5	1/2	1/2	Chord	4/2	2	1	1/8	1/8	1	914	-cer									
87	87	1437/2	1437/2	0.5	5/8	5/8	Chord	4/2	2	1	1/8	1/8	1	915	ch'en-									
87	87	1439/2	1439/2	0.25	7/8	7/8	Chord	4/2	2	1	1/16	1/16	1	916	-tro									
87	87	2879/4	2879/4	0.25	15/16	15/16	Chord	4/2	2	1	1/16	1/16	1	917	ra-									
87	87	720	720	1.0	1	1	Chord	4/2	2	1	1/4	1/4	1	918	-cchi-									
87	87	721	721	1.0	5/4	5/4	Chord	4/2	2	1	1/4	1/4	1	919	-ud-									
87	87	722	722	2.0	3/2	3/2	Chord	4/2	2	1	1/2	1/2	1	920	-'il									
87	87	716	716	2.0	0	0	Chord	4/2	21	1	1/2	1/2	1	921										
87	87	718	718	2.0	1/2	1/2	Chord	4/2	21	1	1/2	1/2	1	922										
87	87	720	720	0.0	1	1	FiguredBass	4/2	21	1	0											1	#	
87	87	720	720	4.0	1	1	Chord	4/2	21	1	1	1	1	923										
88	88	724	724	4.0	0	0	Chord	4/2	2	1	1	1	1	924	core									
88	88	1457/2	1457/2	0.5	9/8	9/8	Chord	4/2	5	1	1/8	1/8	1	925	Del									
88	88	729	729	0.5	5/4	5/4	Chord	4/2	5	1	1/8	1/8	1	926	tuo									
88	88	1459/2	1459/2	0.5	11/8	11/8	Chord	4/2	5	1	1/8	1/8	1	927	bea-									
88	88	730	730	1.5	3/2	3/2	Chord	4/2	5	1	3/8	1/4	3/2	928	-to									
88	88	1463/2	1463/2	0.5	15/8	15/8	Chord	4/2	5	1	1/8	1/8	1	929	a-									
88	88	724	724	0.0	0	0	FiguredBass	4/2	21	1	0											1	#	
88	88	724	724	4.0	0	0	Chord	4/2	21	1	1	1	1	930										
88	88	728	728	0.0	1	1	FiguredBass	4/2	21	1	0											1	#	
88	88	728	728	4.0	1	1	Chord	4/2	21	1	1	1	1	931										
89	89	732	732	2.0	0	0	Chord	4/2	5	1	1/2	1/2	1	932	-mor									
89	89	734	734	1.0	1/2	1/2	Chord	4/2	5	1	1/4	1/4	1	933	gl'al-									
89	89	735	735	0.5	3/4	3/4	Chord	4/2	5	1	1/8	1/8	1	934	-ti-									
89	89	1471/2	1471/2	0.5	7/8	7/8	Chord	4/2	5	1	1/8	1/8	1	935	-con									
89	89	736	736	1.0	1	1	Chord	4/2	5	1	1/4	1/4	1	936	ten-									
89	89	737	737	1.0	5/4	5/4	Chord	4/2	5	1	1/4	1/4	1	937	-ti									
89	89	738	738	1.0	3/2	3/2	Chord	4/2	5	1	1/4	1/4	1	938	Cre-									
89	89	739	739	0.5	7/4	7/4	Chord	4/2	5	1	1/8	1/8	1	939	-sca-									
89	89	1479/2	1479/2	0.5	15/8	15/8	Chord	4/2	5	1	1/8	1/8	1	940	-noogn'									
89	89	732	732	0.0	0	0	FiguredBass	4/2	21	1	0											1	#	
89	89	732	732	4.0	0	0	Chord	4/2	21	1	1	1	1	941										
89	89	736	736	0.0	1	1	FiguredBass	4/2	21	1	0											1	#	
89	89	736	736	4.0	1	1	Chord	4/2	21	1	1	1	1	942										
90	90	740	740	0.5	0	0	Chord	4/2	5	1	1/8	1/8	1	943	'or									
90	90	1481/2	1481/2	0.5	1/8	1/8	Chord	4/2	5	1	1/8	1/8	1	944	co-									
90	90	741	741	0.5	1/4	1/4	Chord	4/2	5	1	1/8	1/8	1	945	-me									
90	90	1483/2	1483/2	0.5	3/8	3/8	Chord	4/2	5	1	1/8	1/8	1	946	per									
90	90	742	742	1.5	1/2	1/2	Chord	4/2	5	1	3/8	1/4	3/2	947	pio-									
90	90	1487/2	1487/2	0.5	7/8	7/8	Chord	4/2	5	1	1/8	1/8	1	948	-ggia									
90	90	744	744	1.0	1	1	Chord	4/2	5	1	1/4	1/4	1	949	suo-									
90	90	745	745	1.0	5/4	5/4	Chord	4/2	5	1	1/4	1/4	1	950	-le									
90	90	746	746	1.0	3/2	3/2	Chord	4/2	5	1	1/4	1/4	1	951	L'on-									
90	90	747	747	0.5	7/4	7/4	Chord	4/2	5	1	1/8	1/8	1	952	-da									
90	90	1495/2	1495/2	0.5	15/8	15/8	Chord	4/2	5	1	1/8	1/8	1	953	gon-									
90	90	740	740	4.0	0	0	Chord	4/2	21	1	1	1	1	954										
90	90	744	744	4.0	1	1	Chord	4/2	21	1	1	1	1	955										
91	91	748	748	1.5	0	0	Chord	4/2	5	1	3/8	1/4	3/2	956	-fiar									
91	91	1499/2	1499/2	0.5	3/8	3/8	Chord	4/2	5	1	1/8	1/8	1	957	de									
91	91	750	750	0.5	1/2	1/2	Chord	4/2	5	1	1/8	1/8	1	958	ra-									
91	91	1501/2	1501/2	0.5	5/8	5/8	Chord	4/2	5	1	1/8	1/8	1	959	-pi-									
91	91	751	751	0.5	3/4	3/4	Chord	4/2	5	1	1/8	1/8	1	960	-di									
91	91	1503/2	1503/2	0.5	7/8	7/8	Chord	4/2	5	1	1/8	1/8	1	961	tor									
91	91	752	752	2.0	1	1	Chord	4/2	5	1	1/2	1/2	1	962	ren-									
91	91	754	754	2.0	3/2	3/2	Chord	4/2	5	1	1/2	1/2	1	963	-ti									
91	91	748	748	4.0	0	0	Chord	4/2	21	1	1	1	1	964										
91	91	752	752	0.0	1	1	FiguredBass	4/2	21	1	0											1/4	11	
91	91	752	752	2.0	1	1	Chord	4/2	21	1	1/2	1/2	1	965										
